
WARNING - 2022-12-07 10:05:48,433 - This will get logged to a file 
INFO - 2022-12-07 10:05:48,434 - solving questions of constructor 
INFO - 2022-12-07 10:05:48,434 - adding students details 
INFO - 2022-12-07 10:05:48,434 - adding students details 
INFO - 2022-12-07 10:05:48,434 - Write a Python program to create a Vehicle class with max_speed and mileage instance attributes. 
INFO - 2022-12-07 10:05:48,434 - passing a empty class named class1 
INFO - 2022-12-07 10:05:48,435 - create a child class that has values of ineuron class 
INFO - 2022-12-07 10:05:48,435 - information of courses ineuron has 
WARNING - 2022-12-07 10:09:01,884 - This will get logged to a file 
INFO - 2022-12-07 10:09:01,885 - solving questions of constructor 
INFO - 2022-12-07 10:09:01,885 - adding students details 
INFO - 2022-12-07 10:09:01,885 - adding students details 
INFO - 2022-12-07 10:09:01,886 - Write a Python program to create a Vehicle class with max_speed and mileage instance attributes. 
INFO - 2022-12-07 10:09:01,886 - passing a empty class named class1 
INFO - 2022-12-07 10:09:01,887 - create a child class that has values of ineuron class 
INFO - 2022-12-07 10:09:01,887 - information of courses ineuron has 
WARNING - 2022-12-07 10:09:11,622 - This will get logged to a file 
INFO - 2022-12-07 10:09:11,623 - solving questions of constructor 
INFO - 2022-12-07 10:09:11,623 - adding students details 
INFO - 2022-12-07 10:09:11,623 - adding students details 
INFO - 2022-12-07 10:09:11,624 - Write a Python program to create a Vehicle class with max_speed and mileage instance attributes. 
INFO - 2022-12-07 10:09:11,624 - passing a empty class named class1 
INFO - 2022-12-07 10:09:11,624 - create a child class that has values of ineuron class 
INFO - 2022-12-07 10:09:11,624 - information of courses ineuron has 
WARNING - 2022-12-07 10:10:23,394 - This will get logged to a file 
INFO - 2022-12-07 10:10:23,395 - solving questions of constructor 
INFO - 2022-12-07 10:10:23,395 - adding students details 
INFO - 2022-12-07 10:10:23,395 - adding students details 
INFO - 2022-12-07 10:10:23,395 - Write a Python program to create a Vehicle class with max_speed and mileage instance attributes. 
INFO - 2022-12-07 10:10:23,395 - passing a empty class named class1 
INFO - 2022-12-07 10:10:23,396 - create a child class that has values of ineuron class 
INFO - 2022-12-07 10:10:23,396 - information of courses ineuron has 
WARNING - 2022-12-07 10:19:12,632 - This will get logged to a file 
INFO - 2022-12-07 10:19:12,632 - solving questions of constructor 
INFO - 2022-12-07 10:19:12,632 - adding students details 
INFO - 2022-12-07 10:19:12,632 - adding students details 
